Title,Authors,Year,Abstract,DOI/URL,Filename,Source
"Swarm Learning: A Survey of Concepts, Applications, and Trends","Elham Shammar, Xiaohui Cui, Mohammed A. A. Al-qaness",2024,"Deep learning models have raised privacy and security concerns due to their reliance on large datasets on central servers. As the number of Internet of Things (IoT) devices increases, artificial intelligence (AI) will be crucial for resource management, data processing, and knowledge acquisition. To address those issues, federated learning (FL) has introduced a novel approach to building a versatile, large-scale machine learning framework that operates in a decentralized and hardware-agnostic manner. However, FL faces network bandwidth limitations and data breaches. To reduce the central dependency in FL and increase scalability, swarm learning (SL) has been proposed in collaboration with Hewlett Packard Enterprise (HPE). SL represents a decentralized machine learning framework that leverages blockchain technology for secure, scalable, and private data management. A blockchain-based network enables the exchange and aggregation of model parameters among participants, thus mitigating the risk of a single point of failure and eliminating communication bottlenecks. To the best of our knowledge, this survey is the first to introduce the principles of Swarm Learning, its architectural design, and its fields of application. In addition, it highlights numerous research avenues that require further exploration by academic and industry communities to unlock the full potential and applications of SL.",https://arxiv.org/pdf/2405.00556v2,Swarm Learning A Survey of Concepts Applications a.pdf,ArXiv (Programmatic)
Cold Supply Chain Planning including Smart Contracts: An Intelligent Blockchain-based approach,"Soroush Goodarzi, Vahid Kayvanfar, Alireza Haji, Alireza Shirzad",2022,"Vaccinating the global population against Covid-19 is one of the biggest supply chain management challenges humanity has ever faced. Rapid supply of Covid-19 vaccines is essential for successful global immunization, but its effectiveness depends on a transparent supply chain that can be monitored. In this research, we have proposed an approach based on blockchain technology, which is used to ensure seamless distribution of the Covid-19 vaccine with transparency, data integrity, and full traceability of the supply chain to reduce risk, ensure safety, and immutability. A vaccine supply chain needs to update the status of the vaccine at every stage, and any problem in the supply and distribution path can lead to irreparable damage. Currently, the research conducted on the use of blockchain in supply chains is still in the early stages. In this paper, the use of blockchain technology to monitor the vaccine supply and distribution system will be investigated. A model close to reality of today's vaccine supply chains in developing countries is considered and then a new intelligent system for vaccine monitoring in the vaccine supply chain is designed based on the considered model. Also, smart contracts based on a blockchain network is designed to check consumer vaccination records as well as vaccine circulation from beginning to end. The implementation and design of the vaccine supply chain is done using smart contracts on the Ethereum blockchain network. Additionally, the system has been tested on both local networks, the HardHat suite and Rinkbey's test network. The system has also been developed to work seamlessly when it is using an integrated IoT chip that can automatically update a batch's location, temperature, and other physical conditions periodically.",https://arxiv.org/pdf/2209.10410v1,Cold Supply Chain Planning including Smart Contrac.pdf,ArXiv (Programmatic)
Cyber Risk at the Edge: Current and future trends on Cyber Risk Analytics and Artificial Intelligence in the Industrial Internet of Things and Industry 4.0 Supply Chains,"Petar Radanliev, David De Roure, Kevin Page, Jason Nurse, Rafael Mantilla Montalvo, Omar Santos, La Treall Maddox, Peter Burnap",2019,"Digital technologies have changed the way supply chain operations are structured. In this article, we conduct systematic syntheses of literature on the impact of new technologies on supply chains and the related cyber risks. A taxonomic/cladistic approach is used for the evaluations of progress in the area of supply chain integration in the Industrial Internet of Things and Industry 4.0, with a specific focus on the mitigation of cyber risks. An analytical framework is presented, based on a critical assessment with respect to issues related to new types of cyber risk and the integration of supply chains with new technologies. This paper identifies a dynamic and self-adapting supply chain system supported with Artificial Intelligence and Machine Learning (AI/ML) and real-time intelligence for predictive cyber risk analytics. The system is integrated into a cognition engine that enables predictive cyber risk analytics with real-time intelligence from IoT networks at the edge. This enhances capacities and assist in the creation of a comprehensive understanding of the opportunities and threats that arise when edge computing nodes are deployed, and when AI/ML technologies are migrated to the periphery of IoT networks.",https://arxiv.org/pdf/1911.05726v2,Cyber Risk at the Edge Current and future trends o.pdf,ArXiv (Programmatic)
Federated Machine Learning for Intelligent IoT via Reconfigurable Intelligent Surface,"Kai Yang, Yuanming Shi, Yong Zhou, Zhanpeng Yang, Liqun Fu, Wei Chen",2020,"Intelligent Internet-of-Things (IoT) will be transformative with the advancement of artificial intelligence and high-dimensional data analysis, shifting from ""connected things"" to ""connected intelligence"". This shall unleash the full potential of intelligent IoT in a plethora of exciting applications, such as self-driving cars, unmanned aerial vehicles, healthcare, robotics, and supply chain finance. These applications drive the need of developing revolutionary computation, communication and artificial intelligence technologies that can make low-latency decisions with massive real-time data. To this end, federated machine learning, as a disruptive technology, is emerged to distill intelligence from the data at network edge, while guaranteeing device privacy and data security. However, the limited communication bandwidth is a key bottleneck of model aggregation for federated machine learning over radio channels. In this article, we shall develop an over-the-air computation based communication-efficient federated machine learning framework for intelligent IoT networks via exploiting the waveform superposition property of a multi-access channel. Reconfigurable intelligent surface is further leveraged to reduce the model aggregation error via enhancing the signal strength by reconfiguring the wireless propagation environments.",https://arxiv.org/pdf/2004.05843v1,Federated Machine Learning for Intelligent IoT via.pdf,ArXiv (Programmatic)
Towards an Intelligent Edge: Wireless Communication Meets Machine Learning,"Guangxu Zhu, Dongzhu Liu, Yuqing Du, Changsheng You, Jun Zhang, Kaibin Huang",2018,"The recent revival of artificial intelligence (AI) is revolutionizing almost every branch of science and technology. Given the ubiquitous smart mobile gadgets and Internet of Things (IoT) devices, it is expected that a majority of intelligent applications will be deployed at the edge of wireless networks. This trend has generated strong interests in realizing an ""intelligent edge"" to support AI-enabled applications at various edge devices. Accordingly, a new research area, called edge learning, emerges, which crosses and revolutionizes two disciplines: wireless communication and machine learning. A major theme in edge learning is to overcome the limited computing power, as well as limited data, at each edge device. This is accomplished by leveraging the mobile edge computing (MEC) platform and exploiting the massive data distributed over a large number of edge devices. In such systems, learning from distributed data and communicating between the edge server and devices are two critical and coupled aspects, and their fusion poses many new research challenges. This article advocates a new set of design principles for wireless communication in edge learning, collectively called learning-driven communication. Illustrative examples are provided to demonstrate the effectiveness of these design principles, and unique research opportunities are identified.",https://arxiv.org/pdf/1809.00343v1,Towards an Intelligent Edge Wireless Communication.pdf,ArXiv (Programmatic)
A Secure Dynamic Edge Resource Federation Architecture for Cross-Domain IoT Systems,"Ronghua Xu, Yu Chen, Xiaohua Li, Erik Blasch",2022,"The fast integration of 5G communication, Artificial Intelligence (AI), and Internet-of-Things (IoT) technologies is envisioned to enable Next Generation Networks (NGNs) for diverse smart services and user-defined applications for Smart Cities. However, it is still challenging to build a scalable and efficient infrastructure that satisfies the various performance, security, and management demands by heterogeneous IoT applications across multiple administrative domains. This paper presents a dynamic edge resource federation architecture, which integrates the concept of network slicing (NS) and blockchain to improve scalability, dynamicity, and security for multi-domain IoT applications. A NS-enabled dynamic edge resource federation framework adopts intelligent mechanisms to support efficient multi-domain service coordination that satisfies diverse Quality of Service (QoS) and security requirements. We propose a Hierarchical Integrated Federated Ledger (HIFL), which aims to guarantee decentralized security and privacy-preserving properties in multi-domain resource orchestration and service re-adjustment. As a secure-by-design solution, HIFL is promising to support efficient, trust and secured end-to-end IoT services. A preliminary proof-of-concept prototype has been implemented for comparing intra- and inter-domain performance expectations.",https://arxiv.org/pdf/2208.01466v1,A Secure Dynamic Edge Resource Federation Architec.pdf,ArXiv (Programmatic)
How Can Applications of Blockchain and Artificial Intelligence Improve Performance of Internet of Things? -- A Survey,"Priyanka Bothra, Raja Karmakar, Sanjukta Bhattacharya, Sayantani De",2021,"In the era of the Internet of Things (IoT), massive computing devices surrounding us operate and interact with each other to provide several significant services in industries, medical as well as in daily life activities at home, office, education sectors, and so on. The participating devices in an IoT network usually have resource constraints and the devices are prone to different cyber attacks, leading to the loopholes in the security and authentication. As a revolutionized and innovated technology, blockchain, that is applied in cryptocurrency, market prediction, etc., uses a distributed ledger that records transactions securely and efficiently. To utilize the great potential of blockchain, both industries and academia have paid a significant attention to integrate it with the IoT, as reported by several existing literature. On the other hand, Artificial Intelligence (AI) is able to embed intelligence in a system, and thus the AI can be integrated with IoT devices in order to automatically cope with different environments according to the demands. Furthermore, both blockchain and AI can be integrated with the IoT to design an automated secure and robust IoT model, as mentioned by numerous existing works. In this survey, we present a discussion on the IoT, blockchain, and AI, along with the descriptions of several research works that apply blockchain and AI in the IoT. In this direction, we point out strengths and limitations of the related existing researches. We also discuss different open challenges to exploit the full capacities of blockchain and AI in designing an IoT-based model. Therefore, the highlighted challenging issues can open the door for the development of future IoT models which will be intelligent and secure based on the integration of blockchain and AI with the IoT.",https://arxiv.org/pdf/2111.14018v1,How Can Applications of Blockchain and Artificial .pdf,ArXiv (Programmatic)
Optimization Design for Federated Learning in Heterogeneous 6G Networks,"Bing Luo, Xiaomin Ouyang, Peng Sun, Pengchao Han, Ningning Ding, Jianwei Huang",2023,"With the rapid advancement of 5G networks, billions of smart Internet of Things (IoT) devices along with an enormous amount of data are generated at the network edge. While still at an early age, it is expected that the evolving 6G network will adopt advanced artificial intelligence (AI) technologies to collect, transmit, and learn this valuable data for innovative applications and intelligent services. However, traditional machine learning (ML) approaches require centralizing the training data in the data center or cloud, raising serious user-privacy concerns. Federated learning, as an emerging distributed AI paradigm with privacy-preserving nature, is anticipated to be a key enabler for achieving ubiquitous AI in 6G networks. However, there are several system and statistical heterogeneity challenges for effective and efficient FL implementation in 6G networks. In this article, we investigate the optimization approaches that can effectively address the challenging heterogeneity issues from three aspects: incentive mechanism design, network resource management, and personalized model optimization. We also present some open problems and promising directions for future research.",https://arxiv.org/pdf/2303.08322v1,Optimization Design for Federated Learning in Hete.pdf,ArXiv (Programmatic)
Data Analytics-enabled Intrusion Detection: Evaluations of ToN_IoT Linux Datasets,"Nour Moustafa, Mohiuddin Ahmed, Sherif Ahmed",2020,"With the widespread of Artificial Intelligence (AI)- enabled security applications, there is a need for collecting heterogeneous and scalable data sources for effectively evaluating the performances of security applications. This paper presents the description of new datasets, named ToN IoT datasets that include distributed data sources collected from Telemetry datasets of Internet of Things (IoT) services, Operating systems datasets of Windows and Linux, and datasets of Network traffic. The paper aims to describe the new testbed architecture used to collect Linux datasets from audit traces of hard disk, memory and process. The architecture was designed in three distributed layers of edge, fog, and cloud. The edge layer comprises IoT and network systems, the fog layer includes virtual machines and gateways, and the cloud layer includes data analytics and visualization tools connected with the other two layers. The layers were programmatically controlled using Software-Defined Network (SDN) and Network-Function Virtualization (NFV) using the VMware NSX and vCloud NFV platform. The Linux ToN IoT datasets would be used to train and validate various new federated and distributed AI-enabled security solutions such as intrusion detection, threat intelligence, privacy preservation and digital forensics. Various Data analytical and machine learning methods are employed to determine the fidelity of the datasets in terms of examining feature engineering, statistics of legitimate and security events, and reliability of security events. The datasets can be publicly accessed from [1].",https://arxiv.org/pdf/2010.08521v1,Data Analytics-enabled Intrusion Detection Evaluat.pdf,ArXiv (Programmatic)
"Imagine All the People: Citizen Science, Artificial Intelligence, and Computational Research","Lea A. Shanley, Lucy Fortson, Tanya Berger-Wolf, Kevin Crowston, Pietro Michelucci",2021,"Machine learning, artificial intelligence, and deep learning have advanced significantly over the past decade. Nonetheless, humans possess unique abilities such as creativity, intuition, context and abstraction, analytic problem solving, and detecting unusual events. To successfully tackle pressing scientific and societal challenges, we need the complementary capabilities of both humans and machines. The Federal Government could accelerate its priorities on multiple fronts through judicious integration of citizen science and crowdsourcing with artificial intelligence (AI), Internet of Things (IoT), and cloud strategies.",https://arxiv.org/pdf/2104.00093v2,Imagine All the People Citizen Science Artificial .pdf,ArXiv (Programmatic)
